description,disease
"rash, itchy skin with redness, flaky patches, burning sensation",Fungal Infection
"dehydration, vomiting, abdominal cramps, diarrhea",Gastroenteritis
"cough, sore throat",Common Cold
"vomiting, dehydration, diarrhea",Gastroenteritis
"visual disturbances, sensitivity to light",Migraine
"sneezing and runny nose, sore throat, nasal congestion",Common Cold
"visual disturbances, sensitivity to light, nausea",Migraine
"cloudy urine, painful urination",UTI
"fever and tiredness, loss of appetite, headache",Chickenpox
"chest pain, difficulty swallowing",GERD
"itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"cough, nasal congestion",Common Cold
"skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"skin hives, runny nose",Allergy
"sore throat, nasal congestion, sneezing and runny nose",Common Cold
"nausea, visual disturbances, sensitivity to light",Migraine
"fever for 5 days, headache, loss of appetite, weakness and fatigue",Typhoid
"skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"visual disturbances, sensitivity to light, throbbing headache, nausea",Migraine
"nausea, sweating, high fever with chills",Malaria
"sneezing and runny nose, nasal congestion, cough",Common Cold
"flaky patches, rash, burning sensation",Fungal Infection
"sneezing and runny nose, cough",Common Cold
"lower abdominal pain, cloudy urine, painful urination",UTI
"dehydration, diarrhea, vomiting",Gastroenteritis
"loss of appetite, headache, itchy blister rash",Chickenpox
"chest pain, acid reflux",GERD
"difficulty swallowing, acid reflux, chest pain",GERD
"frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"nasal congestion, skin hives, runny nose, sneezing and itchy eyes",Allergy
"visual disturbances, throbbing headache",Migraine
"fever for 2 days, headache, loss of appetite, weakness and fatigue",Typhoid
"headache, weakness and fatigue, fever for 5 days",Typhoid
"sneezing and runny nose, cough, sore throat",Common Cold
"diarrhea, vomiting",Gastroenteritis
"throbbing headache, visual disturbances, nausea",Migraine
"fever for 3 days, weakness and fatigue",Typhoid
"diarrhea, vomiting, dehydration",Gastroenteritis
"frequent urge to urinate, painful urination, cloudy urine",UTI
"burning sensation, flaky patches, rash, itchy skin with redness",Fungal Infection
"chest pain, acid reflux, difficulty swallowing, heartburn after meals",GERD
"vomiting, abdominal cramps, diarrhea, dehydration",Gastroenteritis
"weakness and fatigue, headache, fever for 4 days, loss of appetite",Typhoid
"difficulty swallowing, acid reflux, heartburn after meals",GERD
"abdominal cramps, dehydration, diarrhea, vomiting",Gastroenteritis
"painful urination, lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"nausea, high fever with chills",Malaria
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"itchy blister rash, loss of appetite, fever and tiredness, headache",Chickenpox
"weakness and fatigue, loss of appetite, fever for 2 days",Typhoid
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"burning sensation, rash",Fungal Infection
"acid reflux, difficulty swallowing",GERD
"flaky patches, burning sensation, rash",Fungal Infection
"rash, burning sensation, flaky patches",Fungal Infection
"chest pain, heartburn after meals, acid reflux",GERD
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"skin hives, nasal congestion",Allergy
"sweating, high fever with chills, body aches, nausea",Malaria
"headache, weakness and fatigue, fever for 4 days",Typhoid
"loss of appetite, headache",Chickenpox
"sensitivity to light, nausea",Migraine
"skin hives, sneezing and itchy eyes",Allergy
"painful urination, frequent urge to urinate, cloudy urine",UTI
"skin hives, sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"nausea, body aches, sweating, high fever with chills",Malaria
"loss of appetite, itchy blister rash, fever and tiredness",Chickenpox
"sneezing and itchy eyes, runny nose, nasal congestion, skin hives",Allergy
"lower abdominal pain, cloudy urine, frequent urge to urinate, painful urination",UTI
"visual disturbances, throbbing headache, sensitivity to light, nausea",Migraine
"difficulty swallowing, chest pain",GERD
"difficulty swallowing, chest pain, heartburn after meals, acid reflux",GERD
"frequent urge to urinate, lower abdominal pain, painful urination",UTI
"sensitivity to light, visual disturbances, throbbing headache, nausea",Migraine
"cloudy urine, frequent urge to urinate",UTI
"body aches, high fever with chills, sweating, nausea",Malaria
"frequent urge to urinate, cloudy urine",UTI
"cloudy urine, painful urination",UTI
"cloudy urine, frequent urge to urinate, painful urination",UTI
"difficulty swallowing, chest pain, heartburn after meals",GERD
"sweating, body aches, high fever with chills, nausea",Malaria
"painful urination, cloudy urine",UTI
"nasal congestion, runny nose, skin hives, sneezing and itchy eyes",Allergy
"loss of appetite, headache",Chickenpox
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"painful urination, frequent urge to urinate, lower abdominal pain",UTI
"headache, weakness and fatigue",Typhoid
"cough, sore throat, sneezing and runny nose, nasal congestion",Common Cold
"nausea, body aches, sweating, high fever with chills",Malaria
"dehydration, diarrhea, abdominal cramps, vomiting",Gastroenteritis
"nasal congestion, sore throat, sneezing and runny nose, cough",Common Cold
"weakness and fatigue, headache, fever for 2 days, loss of appetite",Typhoid
"body aches, high fever with chills, nausea, sweating",Malaria
"difficulty swallowing, chest pain, acid reflux",GERD
"chest pain, acid reflux, heartburn after meals",GERD
"nausea, throbbing headache, sensitivity to light",Migraine
"lower abdominal pain, frequent urge to urinate",UTI
"body aches, sweating, high fever with chills, nausea",Malaria
"loss of appetite, headache",Chickenpox
"rash, itchy skin with redness, burning sensation",Fungal Infection
"itchy blister rash, headache, loss of appetite",Chickenpox
"diarrhea, dehydration",Gastroenteritis
"dehydration, abdominal cramps, diarrhea",Gastroenteritis
"cough, sore throat",Common Cold
"loss of appetite, headache, fever for 5 days",Typhoid
"cloudy urine, frequent urge to urinate, painful urination, lower abdominal pain",UTI
"rash, itchy skin with redness, burning sensation",Fungal Infection
"itchy skin with redness, rash, flaky patches, burning sensation",Fungal Infection
"acid reflux, heartburn after meals",GERD
"acid reflux, chest pain, difficulty swallowing",GERD
"itchy blister rash, loss of appetite",Chickenpox
"heartburn after meals, difficulty swallowing",GERD
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"diarrhea, vomiting",Gastroenteritis
"cloudy urine, frequent urge to urinate",UTI
"cough, sneezing and runny nose",Common Cold
"sweating, body aches, nausea, high fever with chills",Malaria
"high fever with chills, nausea, body aches",Malaria
"runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"nasal congestion, sore throat, sneezing and runny nose, cough",Common Cold
"acid reflux, difficulty swallowing",GERD
"cough, sore throat",Common Cold
"difficulty swallowing, heartburn after meals",GERD
"itchy skin with redness, flaky patches, burning sensation, rash",Fungal Infection
"acid reflux, chest pain",GERD
"itchy skin with redness, rash, flaky patches, burning sensation",Fungal Infection
"itchy blister rash, fever and tiredness",Chickenpox
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"cough, nasal congestion, sore throat",Common Cold
"burning sensation, flaky patches, itchy skin with redness, rash",Fungal Infection
"throbbing headache, nausea",Migraine
"visual disturbances, sensitivity to light",Migraine
"diarrhea, abdominal cramps, vomiting",Gastroenteritis
"nausea, throbbing headache",Migraine
"weakness and fatigue, fever for 1 days",Typhoid
"cloudy urine, painful urination",UTI
"painful urination, lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"visual disturbances, throbbing headache",Migraine
"sweating, high fever with chills",Malaria
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"sweating, body aches, nausea",Malaria
"chest pain, acid reflux",GERD
"heartburn after meals, difficulty swallowing",GERD
"fever for 3 days, weakness and fatigue",Typhoid
"runny nose, sneezing and itchy eyes, nasal congestion, skin hives",Allergy
"nausea, visual disturbances, throbbing headache, sensitivity to light",Migraine
"fever for 1 days, loss of appetite, weakness and fatigue, headache",Typhoid
"fever and tiredness, itchy blister rash",Chickenpox
"sensitivity to light, visual disturbances, nausea, throbbing headache",Migraine
"acid reflux, heartburn after meals",GERD
"sweating, nausea, high fever with chills",Malaria
"sneezing and itchy eyes, runny nose",Allergy
"nausea, sweating",Malaria
"nasal congestion, cough, sore throat",Common Cold
"skin hives, runny nose",Allergy
"sneezing and itchy eyes, skin hives, runny nose, nasal congestion",Allergy
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"sneezing and itchy eyes, nasal congestion",Allergy
"weakness and fatigue, loss of appetite, fever for 1 days, headache",Typhoid
"flaky patches, itchy skin with redness",Fungal Infection
"fever for 5 days, headache, weakness and fatigue",Typhoid
"vomiting, dehydration, diarrhea, abdominal cramps",Gastroenteritis
"nasal congestion, sneezing and runny nose, cough",Common Cold
"rash, burning sensation, flaky patches, itchy skin with redness",Fungal Infection
"chest pain, acid reflux",GERD
"sore throat, nasal congestion",Common Cold
"burning sensation, flaky patches",Fungal Infection
"cough, sore throat",Common Cold
"dehydration, vomiting",Gastroenteritis
"difficulty swallowing, chest pain",GERD
"itchy skin with redness, burning sensation, rash",Fungal Infection
"sneezing and itchy eyes, runny nose, skin hives",Allergy
"diarrhea, abdominal cramps, dehydration, vomiting",Gastroenteritis
"cough, sneezing and runny nose, nasal congestion",Common Cold
"headache, loss of appetite, fever for 1 days, weakness and fatigue",Typhoid
"difficulty swallowing, acid reflux",GERD
"dehydration, vomiting",Gastroenteritis
"loss of appetite, fever and tiredness, headache, itchy blister rash",Chickenpox
"frequent urge to urinate, lower abdominal pain, painful urination, cloudy urine",UTI
"painful urination, lower abdominal pain",UTI
"sneezing and itchy eyes, runny nose",Allergy
"sore throat, sneezing and runny nose, cough, nasal congestion",Common Cold
"cough, sneezing and runny nose, nasal congestion",Common Cold
"acid reflux, chest pain, heartburn after meals",GERD
"cloudy urine, painful urination, lower abdominal pain",UTI
"fever and tiredness, loss of appetite",Chickenpox
"loss of appetite, fever and tiredness, headache",Chickenpox
"headache, fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"cloudy urine, lower abdominal pain, painful urination, frequent urge to urinate",UTI
"painful urination, frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"sweating, high fever with chills",Malaria
"visual disturbances, sensitivity to light, throbbing headache",Migraine
"itchy skin with redness, rash, flaky patches",Fungal Infection
"sweating, body aches, high fever with chills",Malaria
"difficulty swallowing, chest pain, acid reflux",GERD
"fever for 4 days, headache",Typhoid
"painful urination, lower abdominal pain, cloudy urine",UTI
"itchy blister rash, headache",Chickenpox
"headache, fever for 4 days",Typhoid
"itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"itchy blister rash, headache, loss of appetite, fever and tiredness",Chickenpox
"visual disturbances, throbbing headache, sensitivity to light",Migraine
"itchy blister rash, headache",Chickenpox
"high fever with chills, nausea, body aches, sweating",Malaria
"nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"high fever with chills, body aches, nausea, sweating",Malaria
"fever and tiredness, itchy blister rash",Chickenpox
"dehydration, vomiting, abdominal cramps, diarrhea",Gastroenteritis
"sensitivity to light, visual disturbances, throbbing headache, nausea",Migraine
"sweating, body aches, high fever with chills",Malaria
"nausea, visual disturbances, sensitivity to light, throbbing headache",Migraine
"difficulty swallowing, acid reflux",GERD
"sensitivity to light, throbbing headache",Migraine
"runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"sneezing and runny nose, cough",Common Cold
"sore throat, cough, sneezing and runny nose, nasal congestion",Common Cold
"frequent urge to urinate, cloudy urine",UTI
"weakness and fatigue, loss of appetite, fever for 2 days",Typhoid
"chest pain, acid reflux, difficulty swallowing, heartburn after meals",GERD
"sensitivity to light, nausea, visual disturbances, throbbing headache",Migraine
